personid,gendername,racename,statename,incomebracket,lifeexp,year
93,Female,White,Arizona,25000to50000,80,2010
94,Female,White,Arizona,25000to50000,80,2011
95,Female,White,Arizona,25000to50000,80,2012
96,Female,White,Arizona,25000to50000,80,2013
97,Female,White,Arizona,25000to50000,80,2014
98,Female,White,Arizona,25000to50000,80,2015
99,Female,White,Arizona,25000to50000,80,2016
100,Female,White,Arizona,25000to50000,80,2017
101,Female,White,Arizona,50001to75000,81,2008
102,Female,White,Arizona,50001to75000,81,2009
103,Female,White,Arizona,50001to75000,81,2010
104,Female,White,Arizona,50001to75000,81,2011
105,Female,White,Arizona,50001to75000,81,2012
106,Female,White,Arizona,50001to75000,81,2013
107,Female,White,Arizona,50001to75000,81,2014
108,Female,White,Arizona,50001to75000,81,2015
109,Female,White,Arizona,50001to75000,81,2016
110,Female,White,Arizona,50001to75000,81,2017
111,Female,White,Arizona,75001andmore,82,2008
112,Female,White,Arizona,75001andmore,82,2009
113,Female,White,Arizona,75001andmore,82,2010
114,Female,White,Arizona,75001andmore,82,2011
115,Female,White,Arizona,75001andmore,82,2012
116,Female,White,Arizona,75001andmore,82,2013
117,Female,White,Arizona,75001andmore,82,2014
118,Female,White,Arizona,75001andmore,82,2015
119,Female,White,Arizona,75001andmore,82,2016
120,Female,White,Arizona,75001andmore,82,2017
121,Female,White,Arkansas,1to25000,78,2008
122,Female,White,Arkansas,1to25000,78,2009
123,Female,White,Arkansas,1to25000,78,2010
124,Female,White,Arkansas,1to25000,78,2011
125,Female,White,Arkansas,1to25000,78,2012
126,Female,White,Arkansas,1to25000,78,2013
127,Female,White,Arkansas,1to25000,78,2014
128,Female,White,Arkansas,1to25000,78,2015
129,Female,White,Arkansas,1to25000,78,2016
130,Female,White,Arkansas,1to25000,78,2017
131,Female,White,Arkansas,25000to50000,80,2008
132,Female,White,Arkansas,25000to50000,80,2009
133,Female,White,Arkansas,25000to50000,80,2010
134,Female,White,Arkansas,25000to50000,80,2011
135,Female,White,Arkansas,25000to50000,80,2012
136,Female,White,Arkansas,25000to50000,80,2013
137,Female,White,Arkansas,25000to50000,80,2014
138,Female,White,Arkansas,25000to50000,80,2015
139,Female,White,Arkansas,25000to50000,80,2016
140,Female,White,Arkansas,25000to50000,80,2017
141,Female,White,Arkansas,50001to75000,80,2008
142,Female,White,Arkansas,50001to75000,80,2009
143,Female,White,Arkansas,50001to75000,80,2010
144,Female,White,Arkansas,50001to75000,80,2011
145,Female,White,Arkansas,50001to75000,80,2012
146,Female,White,Arkansas,50001to75000,80,2013
147,Female,White,Arkansas,50001to75000,80,2014
148,Female,White,Arkansas,50001to75000,80,2015
149,Female,White,Arkansas,50001to75000,80,2016
150,Female,White,Arkansas,50001to75000,80,2017
151,Female,White,Arkansas,75001andmore,81,2008
152,Female,White,Arkansas,75001andmore,81,2009
153,Female,White,Arkansas,75001andmore,81,2010
154,Female,White,Arkansas,75001andmore,81,2011
155,Female,White,Arkansas,75001andmore,81,2012
156,Female,White,Arkansas,75001andmore,81,2013
157,Female,White,Arkansas,75001andmore,81,2014
158,Female,White,Arkansas,75001andmore,81,2015
159,Female,White,Arkansas,75001andmore,81,2016
160,Female,White,Arkansas,75001andmore,81,2017
161,Female,White,California,1to25000,79,2008
162,Female,White,California,1to25000,79,2009
163,Female,White,California,1to25000,79,2010
164,Female,White,California,1to25000,79,2011
165,Female,White,California,1to25000,79,2012
166,Female,White,California,1to25000,79,2013
167,Female,White,California,1to25000,79,2014
168,Female,White,California,1to25000,79,2015
169,Female,White,California,1to25000,79,2016
170,Female,White,California,1to25000,79,2017
171,Female,White,California,25000to50000,80,2008
172,Female,White,California,25000to50000,80,2009
173,Female,White,California,25000to50000,80,2010
174,Female,White,California,25000to50000,80,2011
175,Female,White,California,25000to50000,80,2012
176,Female,White,California,25000to50000,80,2013
177,Female,White,California,25000to50000,80,2014
178,Female,White,California,25000to50000,80,2015
179,Female,White,California,25000to50000,80,2016
180,Female,White,California,25000to50000,80,2017
181,Female,White,California,50001to75000,81,2008
182,Female,White,California,50001to75000,81,2009
183,Female,White,California,50001to75000,81,2010
184,Female,White,California,50001to75000,81,2011
185,Female,White,California,50001to75000,81,2012
186,Female,White,California,50001to75000,81,2013
187,Female,White,California,50001to75000,81,2014
188,Female,White,California,50001to75000,81,2015
189,Female,White,California,50001to75000,81,2016
190,Female,White,California,50001to75000,81,2017
191,Female,White,California,75001andmore,81,2008
192,Female,White,California,75001andmore,81,2009
193,Female,White,California,75001andmore,81,2010
194,Female,White,California,75001andmore,81,2011
195,Female,White,California,75001andmore,81,2012
196,Female,White,California,75001andmore,81,2013
197,Female,White,California,75001andmore,81,2014
198,Female,White,California,75001andmore,81,2015
199,Female,White,California,75001andmore,81,2016
200,Female,White,California,75001andmore,81,2017
201,Female,White,Colorado,1to25000,80,2008
202,Female,White,Colorado,1to25000,80,2009
203,Female,White,Colorado,1to25000,80,2010
204,Female,White,Colorado,1to25000,80,2011
205,Female,White,Colorado,1to25000,80,2012
206,Female,White,Colorado,1to25000,80,2013
207,Female,White,Colorado,1to25000,80,2014
208,Female,White,Colorado,1to25000,80,2015
209,Female,White,Colorado,1to25000,80,2016
210,Female,White,Colorado,1to25000,80,2017
211,Female,White,Colorado,25000to50000,81,2008
212,Female,White,Colorado,25000to50000,81,2009
213,Female,White,Colorado,25000to50000,81,2010
214,Female,White,Colorado,25000to50000,81,2011
215,Female,White,Colorado,25000to50000,81,2012
216,Female,White,Colorado,25000to50000,81,2013
217,Female,White,Colorado,25000to50000,81,2014
218,Female,White,Colorado,25000to50000,81,2015
219,Female,White,Colorado,25000to50000,81,2016
220,Female,White,Colorado,25000to50000,81,2017
221,Female,White,Colorado,50001to75000,82,2008
222,Female,White,Colorado,50001to75000,82,2009
223,Female,White,Colorado,50001to75000,82,2010
224,Female,White,Colorado,50001to75000,82,2011
225,Female,White,Colorado,50001to75000,82,2012
226,Female,White,Colorado,50001to75000,82,2013
227,Female,White,Colorado,50001to75000,82,2014
228,Female,White,Colorado,50001to75000,82,2015
229,Female,White,Colorado,50001to75000,82,2016
230,Female,White,Colorado,50001to75000,82,2017
231,Female,White,Colorado,75001andmore,83,2008
232,Female,White,Colorado,75001andmore,83,2009
233,Female,White,Colorado,75001andmore,83,2010
234,Female,White,Colorado,75001andmore,83,2011
235,Female,White,Colorado,75001andmore,83,2012
236,Female,White,Colorado,75001andmore,83,2013
237,Female,White,Colorado,75001andmore,83,2014
238,Female,White,Colorado,75001andmore,83,2015
239,Female,White,Colorado,75001andmore,83,2016
240,Female,White,Colorado,75001andmore,83,2017
241,Female,White,Connecticut,1to25000,79,2008
242,Female,White,Connecticut,1to25000,79,2009
243,Female,White,Connecticut,1to25000,79,2010
244,Female,White,Connecticut,1to25000,79,2011
245,Female,White,Connecticut,1to25000,79,2012
246,Female,White,Connecticut,1to25000,79,2013
247,Female,White,Connecticut,1to25000,79,2014
248,Female,White,Connecticut,1to25000,79,2015
249,Female,White,Connecticut,1to25000,79,2016
250,Female,White,Connecticut,1to25000,79,2017
251,Female,White,Connecticut,25000to50000,81,2008
252,Female,White,Connecticut,25000to50000,81,2009
253,Female,White,Connecticut,25000to50000,81,2010
254,Female,White,Connecticut,25000to50000,81,2011
255,Female,White,Connecticut,25000to50000,81,2012
256,Female,White,Connecticut,25000to50000,81,2013
257,Female,White,Connecticut,25000to50000,81,2014
258,Female,White,Connecticut,25000to50000,81,2015
259,Female,White,Connecticut,25000to50000,81,2016
260,Female,White,Connecticut,25000to50000,81,2017
261,Female,White,Connecticut,50001to75000,81,2008
262,Female,White,Connecticut,50001to75000,81,2009
263,Female,White,Connecticut,50001to75000,81,2010
264,Female,White,Connecticut,50001to75000,81,2011
265,Female,White,Connecticut,50001to75000,81,2012
266,Female,White,Connecticut,50001to75000,81,2013
267,Female,White,Connecticut,50001to75000,81,2014
268,Female,White,Connecticut,50001to75000,81,2015
269,Female,White,Connecticut,50001to75000,81,2016
270,Female,White,Connecticut,50001to75000,81,2017
271,Female,White,Connecticut,75001andmore,82,2008
272,Female,White,Connecticut,75001andmore,82,2009
273,Female,White,Connecticut,75001andmore,82,2010
274,Female,White,Connecticut,75001andmore,82,2011
275,Female,White,Connecticut,75001andmore,82,2012
276,Female,White,Connecticut,75001andmore,82,2013
277,Female,White,Connecticut,75001andmore,82,2014
278,Female,White,Connecticut,75001andmore,82,2015
279,Female,White,Connecticut,75001andmore,82,2016
280,Female,White,Connecticut,75001andmore,82,2017
281,Female,White,Delaware,1to25000,78,2008
282,Female,White,Delaware,1to25000,78,2009
283,Female,White,Delaware,1to25000,78,2010
284,Female,White,Delaware,1to25000,78,2011
285,Female,White,Delaware,1to25000,78,2012
286,Female,White,Delaware,1to25000,78,2013
287,Female,White,Delaware,1to25000,78,2014
288,Female,White,Delaware,1to25000,78,2015
289,Female,White,Delaware,1to25000,78,2016
290,Female,White,Delaware,1to25000,78,2017
291,Female,White,Delaware,25000to50000,79,2008
292,Female,White,Delaware,25000to50000,79,2009
293,Female,White,Delaware,25000to50000,79,2010
294,Female,White,Delaware,25000to50000,79,2011
295,Female,White,Delaware,25000to50000,79,2012
296,Female,White,Delaware,25000to50000,79,2013
297,Female,White,Delaware,25000to50000,79,2014
298,Female,White,Delaware,25000to50000,79,2015
299,Female,White,Delaware,25000to50000,79,2016
300,Female,White,Delaware,25000to50000,79,2017
301,Female,White,Delaware,50001to75000,79,2008
302,Female,White,Delaware,50001to75000,79,2009
303,Female,White,Delaware,50001to75000,79,2010
304,Female,White,Delaware,50001to75000,79,2011
305,Female,White,Delaware,50001to75000,79,2012
306,Female,White,Delaware,50001to75000,79,2013
307,Female,White,Delaware,50001to75000,79,2014
308,Female,White,Delaware,50001to75000,79,2015
309,Female,White,Delaware,50001to75000,79,2016
310,Female,White,Delaware,50001to75000,79,2017
311,Female,White,Delaware,75001andmore,81,2008
312,Female,White,Delaware,75001andmore,81,2009
313,Female,White,Delaware,75001andmore,81,2010
314,Female,White,Delaware,75001andmore,81,2011
315,Female,White,Delaware,75001andmore,81,2012
316,Female,White,Delaware,75001andmore,81,2013
317,Female,White,Delaware,75001andmore,81,2014
318,Female,White,Delaware,75001andmore,81,2015
319,Female,White,Delaware,75001andmore,81,2016
320,Female,White,Delaware,75001andmore,81,2017
321,Female,White,"District of Columbia",1to25000,NULL,2008
322,Female,White,"District of Columbia",1to25000,NULL,2009
323,Female,White,"District of Columbia",1to25000,NULL,2010
324,Female,White,"District of Columbia",1to25000,NULL,2011
325,Female,White,"District of Columbia",1to25000,NULL,2012
326,Female,White,"District of Columbia",1to25000,NULL,2013
327,Female,White,"District of Columbia",1to25000,NULL,2014
328,Female,White,"District of Columbia",1to25000,NULL,2015
329,Female,White,"District of Columbia",1to25000,NULL,2016
330,Female,White,"District of Columbia",1to25000,NULL,2017
331,Female,White,"District of Columbia",25000to50000,NULL,2008
332,Female,White,"District of Columbia",25000to50000,NULL,2009
333,Female,White,"District of Columbia",25000to50000,NULL,2010
334,Female,White,"District of Columbia",25000to50000,NULL,2011
335,Female,White,"District of Columbia",25000to50000,NULL,2012
336,Female,White,"District of Columbia",25000to50000,NULL,2013
337,Female,White,"District of Columbia",25000to50000,NULL,2014
338,Female,White,"District of Columbia",25000to50000,NULL,2015
339,Female,White,"District of Columbia",25000to50000,NULL,2016
340,Female,White,"District of Columbia",25000to50000,NULL,2017
341,Female,White,"District of Columbia",50001to75000,NULL,2008
342,Female,White,"District of Columbia",50001to75000,NULL,2009
343,Female,White,"District of Columbia",50001to75000,NULL,2010
344,Female,White,"District of Columbia",50001to75000,NULL,2011
345,Female,White,"District of Columbia",50001to75000,NULL,2012
346,Female,White,"District of Columbia",50001to75000,NULL,2013
347,Female,White,"District of Columbia",50001to75000,NULL,2014
348,Female,White,"District of Columbia",50001to75000,NULL,2015
349,Female,White,"District of Columbia",50001to75000,NULL,2016
350,Female,White,"District of Columbia",50001to75000,NULL,2017
351,Female,White,"District of Columbia",75001andmore,NULL,2008
352,Female,White,"District of Columbia",75001andmore,NULL,2009
353,Female,White,"District of Columbia",75001andmore,NULL,2010
354,Female,White,"District of Columbia",75001andmore,NULL,2011
355,Female,White,"District of Columbia",75001andmore,NULL,2012
356,Female,White,"District of Columbia",75001andmore,NULL,2013
357,Female,White,"District of Columbia",75001andmore,NULL,2014
358,Female,White,"District of Columbia",75001andmore,NULL,2015
359,Female,White,"District of Columbia",75001andmore,NULL,2016
360,Female,White,"District of Columbia",75001andmore,NULL,2017
361,Female,White,Florida,1to25000,79,2008
362,Female,White,Florida,1to25000,79,2009
363,Female,White,Florida,1to25000,79,2010
364,Female,White,Florida,1to25000,79,2011
365,Female,White,Florida,1to25000,79,2012
366,Female,White,Florida,1to25000,79,2013
367,Female,White,Florida,1to25000,79,2014
368,Female,White,Florida,1to25000,79,2015
369,Female,White,Florida,1to25000,79,2016
370,Female,White,Florida,1to25000,79,2017
371,Female,White,Florida,25000to50000,80,2008
372,Female,White,Florida,25000to50000,80,2009
373,Female,White,Florida,25000to50000,80,2010
374,Female,White,Florida,25000to50000,80,2011
375,Female,White,Florida,25000to50000,80,2012
376,Female,White,Florida,25000to50000,80,2013
377,Female,White,Florida,25000to50000,80,2014
378,Female,White,Florida,25000to50000,80,2015
379,Female,White,Florida,25000to50000,80,2016
380,Female,White,Florida,25000to50000,80,2017
381,Female,White,Florida,50001to75000,81,2008
382,Female,White,Florida,50001to75000,81,2009
383,Female,White,Florida,50001to75000,81,2010
384,Female,White,Florida,50001to75000,81,2011
385,Female,White,Florida,50001to75000,81,2012
386,Female,White,Florida,50001to75000,81,2013
387,Female,White,Florida,50001to75000,81,2014
388,Female,White,Florida,50001to75000,81,2015
389,Female,White,Florida,50001to75000,81,2016
390,Female,White,Florida,50001to75000,81,2017
391,Female,White,Florida,75001andmore,82,2008
392,Female,White,Florida,75001andmore,82,2009
393,Female,White,Florida,75001andmore,82,2010
394,Female,White,Florida,75001andmore,82,2011
395,Female,White,Florida,75001andmore,82,2012
396,Female,White,Florida,75001andmore,82,2013
397,Female,White,Florida,75001andmore,82,2014
398,Female,White,Florida,75001andmore,82,2015
399,Female,White,Florida,75001andmore,82,2016
400,Female,White,Florida,75001andmore,82,2017
401,Female,White,Georgia,1to25000,78,2008
402,Female,White,Georgia,1to25000,78,2009
403,Female,White,Georgia,1to25000,78,2010
404,Female,White,Georgia,1to25000,78,2011
405,Female,White,Georgia,1to25000,78,2012
406,Female,White,Georgia,1to25000,78,2013
407,Female,White,Georgia,1to25000,78,2014
408,Female,White,Georgia,1to25000,78,2015
409,Female,White,Georgia,1to25000,78,2016
410,Female,White,Georgia,1to25000,78,2017
411,Female,White,Georgia,25000to50000,79,2008
412,Female,White,Georgia,25000to50000,79,2009
413,Female,White,Georgia,25000to50000,79,2010
414,Female,White,Georgia,25000to50000,79,2011
415,Female,White,Georgia,25000to50000,79,2012
416,Female,White,Georgia,25000to50000,79,2013
417,Female,White,Georgia,25000to50000,79,2014
418,Female,White,Georgia,25000to50000,79,2015
419,Female,White,Georgia,25000to50000,79,2016
420,Female,White,Georgia,25000to50000,79,2017
421,Female,White,Georgia,50001to75000,79,2008
422,Female,White,Georgia,50001to75000,79,2009
423,Female,White,Georgia,50001to75000,79,2010
424,Female,White,Georgia,50001to75000,79,2011
425,Female,White,Georgia,50001to75000,79,2012
426,Female,White,Georgia,50001to75000,79,2013
427,Female,White,Georgia,50001to75000,79,2014
428,Female,White,Georgia,50001to75000,79,2015
429,Female,White,Georgia,50001to75000,79,2016
430,Female,White,Georgia,50001to75000,79,2017
431,Female,White,Georgia,75001andmore,81,2008
432,Female,White,Georgia,75001andmore,81,2009
433,Female,White,Georgia,75001andmore,81,2010
434,Female,White,Georgia,75001andmore,81,2011
435,Female,White,Georgia,75001andmore,81,2012
436,Female,White,Georgia,75001andmore,81,2013
437,Female,White,Georgia,75001andmore,81,2014
438,Female,White,Georgia,75001andmore,81,2015
439,Female,White,Georgia,75001andmore,81,2016
440,Female,White,Georgia,75001andmore,81,2017
441,Female,White,Hawaii,1to25000,80,2008
442,Female,White,Hawaii,1to25000,80,2009
443,Female,White,Hawaii,1to25000,80,2010
444,Female,White,Hawaii,1to25000,80,2011
445,Female,White,Hawaii,1to25000,80,2012
446,Female,White,Hawaii,1to25000,80,2013
447,Female,White,Hawaii,1to25000,80,2014
448,Female,White,Hawaii,1to25000,80,2015
449,Female,White,Hawaii,1to25000,80,2016
450,Female,White,Hawaii,1to25000,80,2017
451,Female,White,Hawaii,25000to50000,81,2008
452,Female,White,Hawaii,25000to50000,81,2009
453,Female,White,Hawaii,25000to50000,81,2010
454,Female,White,Hawaii,25000to50000,81,2011
455,Female,White,Hawaii,25000to50000,81,2012
456,Female,White,Hawaii,25000to50000,81,2013
457,Female,White,Hawaii,25000to50000,81,2014
458,Female,White,Hawaii,25000to50000,81,2015
459,Female,White,Hawaii,25000to50000,81,2016
460,Female,White,Hawaii,25000to50000,81,2017
461,Female,White,Hawaii,50001to75000,81,2008
462,Female,White,Hawaii,50001to75000,81,2009
463,Female,White,Hawaii,50001to75000,81,2010
464,Female,White,Hawaii,50001to75000,81,2011
465,Female,White,Hawaii,50001to75000,81,2012
466,Female,White,Hawaii,50001to75000,81,2013
467,Female,White,Hawaii,50001to75000,81,2014
468,Female,White,Hawaii,50001to75000,81,2015
469,Female,White,Hawaii,50001to75000,81,2016
470,Female,White,Hawaii,50001to75000,81,2017
471,Female,White,Hawaii,75001andmore,82,2008
472,Female,White,Hawaii,75001andmore,82,2009
473,Female,White,Hawaii,75001andmore,82,2010
474,Female,White,Hawaii,75001andmore,82,2011
475,Female,White,Hawaii,75001andmore,82,2012
476,Female,White,Hawaii,75001andmore,82,2013
477,Female,White,Hawaii,75001andmore,82,2014
478,Female,White,Hawaii,75001andmore,82,2015
479,Female,White,Hawaii,75001andmore,82,2016
480,Female,White,Hawaii,75001andmore,82,2017
481,Female,White,Idaho,1to25000,80,2008
482,Female,White,Idaho,1to25000,80,2009
483,Female,White,Idaho,1to25000,80,2010
484,Female,White,Idaho,1to25000,80,2011
485,Female,White,Idaho,1to25000,80,2012
486,Female,White,Idaho,1to25000,80,2013
487,Female,White,Idaho,1to25000,80,2014
488,Female,White,Idaho,1to25000,80,2015
489,Female,White,Idaho,1to25000,80,2016
490,Female,White,Idaho,1to25000,80,2017
491,Female,White,Idaho,25000to50000,81,2008
492,Female,White,Idaho,25000to50000,81,2009
493,Female,White,Idaho,25000to50000,81,2010
494,Female,White,Idaho,25000to50000,81,2011
495,Female,White,Idaho,25000to50000,81,2012
496,Female,White,Idaho,25000to50000,81,2013
497,Female,White,Idaho,25000to50000,81,2014
498,Female,White,Idaho,25000to50000,81,2015
499,Female,White,Idaho,25000to50000,81,2016
500,Female,White,Idaho,25000to50000,81,2017
501,Female,White,Idaho,50001to75000,82,2008
502,Female,White,Idaho,50001to75000,82,2009
503,Female,White,Idaho,50001to75000,82,2010
504,Female,White,Idaho,50001to75000,82,2011
505,Female,White,Idaho,50001to75000,82,2012
506,Female,White,Idaho,50001to75000,82,2013
507,Female,White,Idaho,50001to75000,82,2014
508,Female,White,Idaho,50001to75000,82,2015
509,Female,White,Idaho,50001to75000,82,2016
510,Female,White,Idaho,50001to75000,82,2017
511,Female,White,Idaho,75001andmore,83,2008
512,Female,White,Idaho,75001andmore,83,2009
513,Female,White,Idaho,75001andmore,83,2010
514,Female,White,Idaho,75001andmore,83,2011
515,Female,White,Idaho,75001andmore,83,2012
516,Female,White,Idaho,75001andmore,83,2013
517,Female,White,Idaho,75001andmore,83,2014
518,Female,White,Idaho,75001andmore,83,2015
519,Female,White,Idaho,75001andmore,83,2016
520,Female,White,Idaho,75001andmore,83,2017
521,Female,White,Illinois,1to25000,78,2008
522,Female,White,Illinois,1to25000,78,2009
523,Female,White,Illinois,1to25000,78,2010
524,Female,White,Illinois,1to25000,78,2011
525,Female,White,Illinois,1to25000,78,2012
526,Female,White,Illinois,1to25000,78,2013
527,Female,White,Illinois,1to25000,78,2014
528,Female,White,Illinois,1to25000,78,2015
529,Female,White,Illinois,1to25000,78,2016
530,Female,White,Illinois,1to25000,78,2017
531,Female,White,Illinois,25000to50000,79,2008
532,Female,White,Illinois,25000to50000,79,2009
533,Female,White,Illinois,25000to50000,79,2010
534,Female,White,Illinois,25000to50000,79,2011
535,Female,White,Illinois,25000to50000,79,2012
536,Female,White,Illinois,25000to50000,79,2013
537,Female,White,Illinois,25000to50000,79,2014
538,Female,White,Illinois,25000to50000,79,2015
539,Female,White,Illinois,25000to50000,79,2016
540,Female,White,Illinois,25000to50000,79,2017
541,Female,White,Illinois,50001to75000,80,2008
542,Female,White,Illinois,50001to75000,80,2009
543,Female,White,Illinois,50001to75000,80,2010
544,Female,White,Illinois,50001to75000,80,2011
545,Female,White,Illinois,50001to75000,80,2012
546,Female,White,Illinois,50001to75000,80,2013
547,Female,White,Illinois,50001to75000,80,2014
548,Female,White,Illinois,50001to75000,80,2015
549,Female,White,Illinois,50001to75000,80,2016
550,Female,White,Illinois,50001to75000,80,2017
551,Female,White,Illinois,75001andmore,81,2008
552,Female,White,Illinois,75001andmore,81,2009
553,Female,White,Illinois,75001andmore,81,2010
554,Female,White,Illinois,75001andmore,81,2011
555,Female,White,Illinois,75001andmore,81,2012
556,Female,White,Illinois,75001andmore,81,2013
557,Female,White,Illinois,75001andmore,81,2014
558,Female,White,Illinois,75001andmore,81,2015
559,Female,White,Illinois,75001andmore,81,2016
560,Female,White,Illinois,75001andmore,81,2017
561,Female,White,Indiana,1to25000,78,2008
562,Female,White,Indiana,1to25000,78,2009
563,Female,White,Indiana,1to25000,78,2010
564,Female,White,Indiana,1to25000,78,2011
565,Female,White,Indiana,1to25000,78,2012
566,Female,White,Indiana,1to25000,78,2013
567,Female,White,Indiana,1to25000,78,2014
568,Female,White,Indiana,1to25000,78,2015
569,Female,White,Indiana,1to25000,78,2016
570,Female,White,Indiana,1to25000,78,2017
571,Female,White,Indiana,25000to50000,79,2008
572,Female,White,Indiana,25000to50000,79,2009
573,Female,White,Indiana,25000to50000,79,2010
574,Female,White,Indiana,25000to50000,79,2011
575,Female,White,Indiana,25000to50000,79,2012
576,Female,White,Indiana,25000to50000,79,2013
577,Female,White,Indiana,25000to50000,79,2014
578,Female,White,Indiana,25000to50000,79,2015
579,Female,White,Indiana,25000to50000,79,2016
580,Female,White,Indiana,25000to50000,79,2017
581,Female,White,Indiana,50001to75000,80,2008
582,Female,White,Indiana,50001to75000,80,2009
583,Female,White,Indiana,50001to75000,80,2010
584,Female,White,Indiana,50001to75000,80,2011
585,Female,White,Indiana,50001to75000,80,2012
586,Female,White,Indiana,50001to75000,80,2013
587,Female,White,Indiana,50001to75000,80,2014
588,Female,White,Indiana,50001to75000,80,2015
589,Female,White,Indiana,50001to75000,80,2016
590,Female,White,Indiana,50001to75000,80,2017
591,Female,White,Indiana,75001andmore,81,2008
592,Female,White,Indiana,75001andmore,81,2009
593,Female,White,Indiana,75001andmore,81,2010
594,Female,White,Indiana,75001andmore,81,2011
595,Female,White,Indiana,75001andmore,81,2012
596,Female,White,Indiana,75001andmore,81,2013
597,Female,White,Indiana,75001andmore,81,2014
598,Female,White,Indiana,75001andmore,81,2015
599,Female,White,Indiana,75001andmore,81,2016
600,Female,White,Indiana,75001andmore,81,2017
601,Female,White,Iowa,1to25000,79,2008
602,Female,White,Iowa,1to25000,79,2009
603,Female,White,Iowa,1to25000,79,2010
604,Female,White,Iowa,1to25000,79,2011
605,Female,White,Iowa,1to25000,79,2012
606,Female,White,Iowa,1to25000,79,2013
